"head","relation","tail"
"drug_antigens","ADVERSE_EFFECT","disease_immune_tolerance"
"drug_aldesleukin","INTERACTS_WITH","drug_receptors_interleukin_2"
"drug_antigens","ADVERSE_EFFECT","disease_antibody_dependent_enhancement"
"drug_alemtuzumab","INTERACTS_WITH","drug_cd52_protein_human"
"drug_autoantigens","ADVERSE_EFFECT","disease_autoimmune_reaction"
"drug_carcinogens","ADVERSE_EFFECT","disease_carcinogen_effect_in_offspring"
"drug_db_67","ADVERSE_EFFECT","disease_dna_strand_break"
"drug_pegylated_liposomal_irinotecan","ADVERSE_EFFECT","disease_dna_strand_break"
"drug_tenifatecan","ADVERSE_EFFECT","disease_dna_strand_break"
"drug_polyethyleneglycol_7_ethyl_10_hydroxycamptothecin_dfp_13318","ADVERSE_EFFECT","disease_dna_strand_break"
"drug_firtecan_pegol","ADVERSE_EFFECT","disease_dna_strand_break"
"drug_oral_irinotecan_hydrochloride_formulation_val_413","ADVERSE_EFFECT","disease_dna_strand_break"
"drug_antigens","ADVERSE_EFFECT","disease_alloimmunization"
"drug_atezolizumab","INTERACTS_WITH","drug_cd274_protein_human"
"drug_signaling_molecule","ADVERSE_EFFECT","disease_inflammatory_response"
"drug_human_immunoglobulin_g","ADVERSE_EFFECT","disease_immunologic_activity_alteration"
"drug_etanercept","ADVERSE_EFFECT","disease_immunologic_activity_alteration"
"drug_alefacept","ADVERSE_EFFECT","disease_immunologic_activity_alteration"
"drug_adalimumab","ADVERSE_EFFECT","disease_immunologic_activity_alteration"
"drug_certolizumab_pegol","ADVERSE_EFFECT","disease_immunologic_activity_alteration"
"drug_rilonacept","ADVERSE_EFFECT","disease_immunologic_activity_alteration"
"drug_golimumab","ADVERSE_EFFECT","disease_immunologic_activity_alteration"
"drug_muromonab_cd3","ADVERSE_EFFECT","disease_decreased_immunologic_activity_pe"
"drug_siltuximab","ADVERSE_EFFECT","disease_decreased_immunologic_activity_pe"
"drug_belimumab","ADVERSE_EFFECT","disease_decreased_immunologic_activity_pe"
"drug_canakinumab","ADVERSE_EFFECT","disease_decreased_immunologic_activity_pe"
"drug_dupilumab","ADVERSE_EFFECT","disease_decreased_immunologic_activity_pe"
"drug_neutral_protamine_hagedorn_nph_insulin","INTERACTS_WITH","drug_insr_protein_human"
"drug_db_67","INTERACTS_WITH","drug_top1_protein_human"
"drug_pegylated_liposomal_irinotecan","INTERACTS_WITH","drug_top1_protein_human"
"drug_tenifatecan","INTERACTS_WITH","drug_top1_protein_human"
"drug_polyethyleneglycol_7_ethyl_10_hydroxycamptothecin_dfp_13318","INTERACTS_WITH","drug_top1_protein_human"
"drug_firtecan_pegol","INTERACTS_WITH","drug_top1_protein_human"
"drug_oral_irinotecan_hydrochloride_formulation_val_413","INTERACTS_WITH","drug_top1_protein_human"
"drug_sarilumab","INTERACTS_WITH","drug_il6r_protein_human"
"drug_trastuzumab","INTERACTS_WITH","drug_erbb2_protein_human"
"drug_ipilimumab","INTERACTS_WITH","drug_ctla4_protein_human"
"drug_fish_oil","ADVERSE_EFFECT","disease_cell_membrane_alteration_pe"
"drug_pharmacologic_substance","ADVERSE_EFFECT","disease_extensively_drug_resistance_process"
"drug_telomerase_rna_component","ADVERSE_EFFECT","disease_dyskeratosis_congenita"
"drug_glucocorticoid","ADVERSE_EFFECT","disease_glucocorticoid_induced_osteoporosis"
"drug_isocyanates","ADVERSE_EFFECT","disease_isocyanate_induced_asthma"
"drug_sulfonamide","ADVERSE_EFFECT","disease_sulfonamide_allergy"
"drug_beta_lactam","ADVERSE_EFFECT","disease_beta_lactam_allergy"
"drug_5_nucleotidase","ADVERSE_EFFECT","disease_hemolytic_anemia"
"drug_5_nucleotidase","INTERACTS_WITH","drug_nucleotide"
"drug_5_nucleotidase","INTERACTS_WITH","drug_atp8a2_protein_human"
"drug_5_nucleotidase","INTERACTS_WITH","drug_nucleoside_analogs"
"drug_5_nucleotidase","INTERACTS_WITH","drug_nos3_protein_human"
"drug_acetylaminofluorene","ADVERSE_EFFECT","disease_dna_damage"
"drug_acetylaminofluorene","ADVERSE_EFFECT","disease_hepatocellular_carcinoma"
"drug_acetylaminofluorene","ADVERSE_EFFECT","disease_neoplasm"
"drug_acetylaminofluorene","ADVERSE_EFFECT","disease_frameshift_mutation_function"
"drug_acetylaminofluorene","ADVERSE_EFFECT","disease_carcinoma_of_liver_and_intrahepatic_biliary_tract"
"drug_acetylaminofluorene","ADVERSE_EFFECT","disease_hepatocarcinogenesis"
"drug_acetylaminofluorene","INTERACTS_WITH","drug_ribonucleic_acid"
"drug_acetylcholinesterase","ADVERSE_EFFECT","disease_alzheimer_disease"
